,Date,Opponent,Result,Goals,Assists,Points,Shots,SOG,EMOG,MDDG,GB,TO,CT,FO Won,FO Taken,Pen,Pen Time,G Min,Goals Allowed,Saves
0,02/11/2017,"

 Lehigh 
","
L 12 - 13 
","

      
        
          12
        
      
    
","

      
        
          9
        
      
    
","

      
        
          21
        
      
    
","

      
        
          37
        
      
    
","

      
        
          24
        
      
    
","


          3/
        

","


","

      
        
          35
        
      
    
","

      
        
          15
        
      
    
","

      
        
          6
        
      
    
","

      
        
          13
        
      
    
","

      
        
          26
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          14
        
      
    
"
1,02/18/2017,"

 Marquette 
","
L 1 - 17 
","

      
        
          1
        
      
    
","

      
        
          1
        
      
    
","

      
        
          2
        
      
    
","

      
        
          19
        
      
    
","

      
        
          13
        
      
    
","


","


","

      
        
          16
        
      
    
","

      
        
          18
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
","

      
        
          22
        
      
    
","

      
        
          3
        
      
    
","

      
        
          210
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          17
        
      
    
","

      
        
          14
        
      
    
"
2,02/23/2017,"

@ Detroit Mercy 
","
L 11 - 12 
","

      
        
          11
        
      
    
","

      
        
          8
        
      
    
","

      
        
          19
        
      
    
","

      
        
          33
        
      
    
","

      
        
          21
        
      
    
","


","


","

      
        
          34
        
      
    
","

      
        
          10
        
      
    
","

      
        
          5
        
      
    
","

      
        
          17
        
      
    
","

      
        
          26
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          12
        
      
    
","

      
        
          13
        
      
    
"
3,02/25/2017,"

@ Ohio St. 
","
L 8 - 16 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          24
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          19
        
      
    
","

      
        
          16
        
      
    
","

      
        
          4
        
      
    
","

      
        
          9
        
      
    
","

      
        
          26
        
      
    
","

      
        
          5
        
      
    
","

      
        
          270
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          16
        
      
    
","

      
        
          10
        
      
    
"
4,03/04/2017,"

@ Hartford 
","
L 3 - 15 
","

      
        
          3
        
      
    
","

      
        
          3
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
","

      
        
          7
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          18
        
      
    
","

      
        
          18
        
      
    
","

      
        
          2
        
      
    
","

      
        
          9
        
      
    
","

      
        
          22
        
      
    
","

      
        
          1
        
      
    
","

      
        
          60
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          16
        
      
    
"
5,03/13/2017,"

@ Duke 
","
L 6 - 13 
","

      
        
          6
        
      
    
","

      
        
          4
        
      
    
","

      
        
          10
        
      
    
","

      
        
          20
        
      
    
","

      
        
          12
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          23
        
      
    
","

      
        
          22
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          23
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          17
        
      
    
"
6,03/18/2017,"

 Richmond 
","
L 6 - 13 
","

      
        
          6
        
      
    
","

      
        
          2
        
      
    
","

      
        
          8
        
      
    
","

      
        
          35
        
      
    
","

      
        
          25
        
      
    
","


","


","

      
        
          37
        
      
    
","

      
        
          15
        
      
    
","

      
        
          9
        
      
    
","

      
        
          14
        
      
    
","

      
        
          22
        
      
    
","

      
        
          7
        
      
    
","

      
        
          300
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          9
        
      
    
"
7,03/25/2017,"

@ Air Force 
","
L 9 - 10 (1OT)
","

      
        
          9
        
      
    
","

      
        
          8
        
      
    
","

      
        
          17
        
      
    
","

      
        
          25
        
      
    
","

      
        
          14
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          14
        
      
    
","

      
        
          8
        
      
    
","

      
        
          3
        
      
    
","

      
        
          8
        
      
    
","

      
        
          21
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","


          3,833/
        

","

      
        
          10
        
      
    
","

      
        
          11
        
      
    
"
8,04/01/2017,"

 Furman 
","
L 9 - 15 
","

      
        
          9
        
      
    
","

      
        
          9
        
      
    
","

      
        
          18
        
      
    
","

      
        
          28
        
      
    
","

      
        
          20
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          31
        
      
    
","

      
        
          10
        
      
    
","

      
        
          4
        
      
    
","

      
        
          14
        
      
    
","

      
        
          28
        
      
    
","

      
        
          2
        
      
    
","

      
        
          90
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          15
        
      
    
","

      
        
          12
        
      
    
"
9,04/08/2017,"

@ VMI 
","
W 16 - 10 
","

      
        
          16
        
      
    
","

      
        
          8
        
      
    
","

      
        
          24
        
      
    
","

      
        
          31
        
      
    
","

      
        
          25
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          48
        
      
    
","

      
        
          16
        
      
    
","

      
        
          4
        
      
    
","

      
        
          19
        
      
    
","

      
        
          28
        
      
    
","

      
        
          3
        
      
    
","

      
        
          150
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          10
        
      
    
","

      
        
          9
        
      
    
"
10,04/15/2017,"

@ Mercer 
","
W 13 - 7 
","

      
        
          13
        
      
    
","

      
        
          7
        
      
    
","

      
        
          20
        
      
    
","

      
        
          39
        
      
    
","

      
        
          24
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          28
        
      
    
","

      
        
          15
        
      
    
","

      
        
          4
        
      
    
","

      
        
          17
        
      
    
","

      
        
          24
        
      
    
","

      
        
          3
        
      
    
","

      
        
          120
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          7
        
      
    
","

      
        
          10
        
      
    
"
11,04/22/2017,"

 High Point 
","
L 9 - 13 
","

      
        
          9
        
      
    
","

      
        
          7
        
      
    
","

      
        
          16
        
      
    
","

      
        
          34
        
      
    
","

      
        
          22
        
      
    
","


","


","

      
        
          34
        
      
    
","

      
        
          14
        
      
    
","

      
        
          6
        
      
    
","

      
        
          15
        
      
    
","

      
        
          26
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          13
        
      
    
","

      
        
          11
        
      
    
"
12,04/29/2017,"

@ Bellarmine 
","
W 17 - 11 
","

      
        
          17
        
      
    
","

      
        
          12
        
      
    
","

      
        
          29
        
      
    
","

      
        
          40
        
      
    
","

      
        
          29
        
      
    
","


          3/
        

","


","

      
        
          29
        
      
    
","

      
        
          12
        
      
    
","

      
        
          3
        
      
    
","


          21/
        

","

      
        
          32
        
      
    
","

      
        
          4
        
      
    
","

      
        
          180
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          11
        
      
    
"
13,05/04/2017,"

 Air Force @ Richmond, Va.
","
L 8 - 11 
","

      
        
          8
        
      
    
","

      
        
          5
        
      
    
","

      
        
          13
        
      
    
","

      
        
          19
        
      
    
","

      
        
          16
        
      
    
","

      
        
          1
        
      
    
","


","

      
        
          27
        
      
    
","

      
        
          17
        
      
    
","

      
        
          6
        
      
    
","

      
        
          11
        
      
    
","

      
        
          23
        
      
    
","

      
        
          1
        
      
    
","

      
        
          30
        
      
    
","

      
        
          3,600
        
      
    
","

      
        
          11
        
      
    
","

      
        
          17
        
      
    
"
